"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Feedback","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Feedback","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Feedback","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Feedback","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","47","0","0","0","0","NA","47","47","0","0","47","47","47","47","47","0","0","0","0","0","0","47","47","47","47","47","47","47","47","47","47","0","47","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","306861","NA","NA","8910","NA","NA","308438","306919","8910","NA","309438","290763","277613","309442","303909","7225","7513","7729","8097","6056","2752","310942","291265","278119","310944","303912","310945","313049","NA","312947","313149","4681","306861","NA","NA","211978","NA","2752","Hommel2002EXP01","0","32002","16","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","blue","red","yellow","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","48","0","0","0","0","NA","48","48","0","0","48","48","48","48","48","0","0","0","0","0","0","48","48","48","48","48","48","48","48","48","48","0","48","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","313951","NA","NA","8910","NA","NA","315575","314060","8910","NA","316576","290763","277613","316578","303909","7225","7513","7729","8097","6056","2752","317579","291265","278119","317581","303912","317582","319686","NA","319584","319786","4681","313951","NA","NA","211978","NA","2752","Hommel2002EXP01","0","34002","17","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","yellow","green","red","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","49","0","0","0","0","NA","49","49","0","0","49","49","49","49","49","0","0","0","0","0","0","49","49","49","49","49","49","49","49","49","49","0","49","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","320486","NA","NA","8910","NA","NA","322104","320589","8910","NA","323104","290763","277613","323106","303909","7225","7513","7729","8097","6056","2752","323607","291265","278119","323609","303912","323610","325714","NA","325612","325814","4681","320486","NA","NA","211978","NA","2752","Hommel2002EXP01","0","36002","18","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","green","yellow","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","50","0","0","0","0","NA","50","50","0","0","50","50","50","50","50","0","0","0","0","0","0","50","50","50","50","50","50","50","50","50","50","0","50","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","326536","NA","NA","8910","NA","NA","328150","326635","8910","NA","329150","329152","277613","323106","303909","7225","7513","7729","8097","6056","2752","329653","329655","278119","323609","303912","329656","331760","NA","331658","331860","4681","326536","NA","NA","211978","NA","2752","Hommel2002EXP01","0","38002","19","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","green","yellow","red","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","51","0","0","0","0","NA","51","51","0","0","51","51","51","51","51","0","0","0","0","0","0","51","51","51","51","51","51","51","51","51","51","0","51","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2001","NA","285","213","365","813","1166","2001","1372","legacy","0","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","332584","NA","NA","8910","NA","NA","334206","332688","8910","NA","335206","329152","335208","323106","303909","7225","7513","7729","8097","6056","2752","335209","329655","335211","323609","303912","335211","337316","NA","337214","337416","4681","332584","NA","NA","211978","NA","2752","Hommel2002EXP01","0","40003","20","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","blue","red","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","52","0","0","0","0","NA","52","52","0","0","52","52","52","52","52","0","0","0","0","0","0","52","52","52","52","52","52","52","52","52","52","0","52","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","0","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","338149","NA","NA","8910","NA","NA","339778","338262","8910","NA","340778","329152","335208","340781","303909","7225","7513","7729","8097","6056","2752","340781","329655","335211","340783","303912","340784","342888","NA","342786","342988","4681","338149","NA","NA","211978","NA","2752","Hommel2002EXP01","0","42003","21","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","green","red","blue","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","53","0","0","0","0","NA","53","53","0","0","53","53","53","53","53","0","0","0","0","0","0","53","53","53","53","53","53","53","53","53","53","0","53","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2001","NA","285","213","365","813","1166","2001","1372","legacy","0","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","343919","NA","NA","8910","NA","NA","345572","344069","8910","NA","346572","346574","335208","340781","303909","7225","7513","7729","8097","6056","2752","346575","346577","335211","340783","303912","346577","348682","NA","348580","348782","4681","343919","NA","NA","211978","NA","2752","Hommel2002EXP01","0","44004","22","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","green","yellow","red","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","54","0","0","0","0","NA","54","54","0","0","54","54","54","54","54","0","0","0","0","0","0","54","54","54","54","54","54","54","54","54","54","0","54","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","349567","NA","NA","8910","NA","NA","351149","349634","8910","NA","352149","346574","352151","340781","303909","7225","7513","7729","8097","6056","2752","353651","346577","353654","340783","303912","353654","355758","NA","355656","355858","4681","349567","NA","NA","211978","NA","2752","Hommel2002EXP01","0","46004","23","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","red","yellow","green","blue","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","55","0","0","0","0","NA","55","55","0","0","55","55","55","55","55","0","0","0","0","0","0","55","55","55","55","55","55","55","55","55","55","0","55","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","356570","NA","NA","8910","NA","NA","358183","356664","8910","NA","359183","346574","352151","359185","303909","7225","7513","7729","8097","6056","2752","360686","346577","353654","360688","303912","360689","362793","NA","362691","362893","4681","356570","NA","NA","211978","NA","2752","Hommel2002EXP01","0","48004","24","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","red","blue","green","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","56","0","0","0","0","NA","56","56","0","0","56","56","56","56","56","0","0","0","0","0","0","56","56","56","56","56","56","56","56","56","56","0","56","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","363618","NA","NA","8910","NA","NA","365231","363712","8910","NA","366231","366233","352151","359185","303909","7225","7513","7729","8097","6056","2752","367733","367735","353654","360688","303912","367736","369840","NA","369738","369940","4681","363618","NA","NA","211978","NA","2752","Hommel2002EXP01","0","50004","25","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","blue","red","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","57","0","0","0","0","NA","57","57","0","0","57","57","57","57","57","0","0","0","0","0","0","57","57","57","57","57","57","57","57","57","57","0","57","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","370678","NA","NA","8910","NA","NA","372300","370784","8910","NA","373300","373302","352151","359185","303909","7225","7513","7729","8097","6056","2752","374302","374304","353654","360688","303912","374305","376409","NA","376307","376509","4681","370678","NA","NA","211978","NA","2752","Hommel2002EXP01","0","52004","26","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","green","yellow","blue","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","58","0","0","0","0","NA","58","58","0","0","58","58","58","58","58","0","0","0","0","0","0","58","58","58","58","58","58","58","58","58","58","0","58","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","377246","NA","NA","8910","NA","NA","378873","377357","8910","NA","379873","373302","379875","359185","303909","7225","7513","7729","8097","6056","2752","380876","374304","380878","360688","303912","380879","382983","NA","382881","383083","4681","377246","NA","NA","211978","NA","2752","Hommel2002EXP01","0","54004","27","yes","1024"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","59","0","0","0","0","NA","59","59","0","0","59","59","59","59","59","0","0","0","0","0","0","59","59","59","59","59","59","59","59","59","59","0","59","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","383861","NA","NA","8910","NA","NA","385512","384010","8910","NA","386512","373302","379875","359185","386514","7225","7513","7729","8097","6056","2752","387515","374304","380878","360688","387517","387518","389622","NA","389520","389722","4681","383861","NA","NA","211978","NA","2752","Hommel2002EXP01","0","56004","28","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","yellow","blue","green","legacy","0","uniform","0","0","z","NA","NA","NA","1","NA","NA","1","NA","60","0","0","0","0","NA","60","60","0","0","60","60","60","60","60","0","0","0","0","0","0","60","60","60","60","60","60","60","60","60","60","0","60","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","390482","NA","NA","8910","NA","NA","392066","390551","8910","NA","393067","373302","393069","359185","386514","7225","7513","7729","8097","6056","2752","394069","374304","394071","360688","387517","394072","396176","NA","396074","396276","4681","390482","NA","NA","211978","NA","2752","Hommel2002EXP01","0","58004","29","yes","1024"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","red","blue","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","61","0","0","0","0","NA","61","61","0","0","61","61","61","61","61","0","0","0","0","0","0","61","61","61","61","61","61","61","61","61","61","0","61","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","397006","NA","NA","8910","NA","NA","398614","397099","8910","NA","399615","373302","393069","359185","399617","7225","7513","7729","8097","6056","2752","400117","374304","394071","360688","400119","400120","402224","NA","402122","402324","4681","397006","NA","NA","211978","NA","2752","Hommel2002EXP01","0","60004","30","yes","1024"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","green","red","blue","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","62","0","0","0","0","NA","62","62","0","0","62","62","62","62","62","0","0","0","0","0","0","62","62","62","62","62","62","62","62","62","62","0","62","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","0","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","403043","NA","NA","8910","NA","NA","404659","403144","8910","NA","405660","373302","393069","359185","405662","7225","7513","7729","8097","6056","2752","405663","374304","394071","360688","405665","405665","407769","NA","407667","407869","4681","403043","NA","NA","211978","NA","2752","Hommel2002EXP01","0","62004","31","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","red","yellow","blue","green","legacy","0","uniform","0","0","/","NA","NA","NA","1","NA","NA","1","NA","63","0","0","0","0","NA","63","63","0","0","63","63","63","63","63","0","0","0","0","0","0","63","63","63","63","63","63","63","63","63","63","0","63","NA","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","211978","NA","NA","NA","NA","408595","NA","NA","8910","NA","NA","410263","408711","8910","NA","411263","373302","393069","411266","405662","7225","7513","7729","8097","6056","2752","412266","374304","394071","412310","405665","412310","414414","NA","414312","414514","4681","408593","NA","NA","211978","NA","2752","Hommel2002EXP01","0","64004","32","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","/","0","NA","NA","1","0","NA","1","NA","64","0","0","0","0","0","64","64","0","0","64","64","64","64","64","0","0","0","0","0","0","64","64","64","64","64","64","64","64","64","64","0","64","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2000","4286","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","419660","418995","NA","8910","NA","414709","421292","419776","8910","NA","422293","373302","393069","422295","405662","7225","7513","7729","8097","6056","2752","423296","374304","394071","423298","405665","423299","425403","NA","425301","425503","4681","419660","418998","NA","211978","NA","2752","Hommel2002EXP01","0","2000","1","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","red","blue","green","yellow","legacy","0","uniform","0","0","/","0","NA","NA","1","0","NA","1","NA","65","0","0","0","0","0","65","65","0","0","65","65","65","65","65","0","0","0","0","0","0","65","65","65","65","65","65","65","65","65","65","0","65","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2001","4286","285","213","365","813","1166","2001","1372","legacy","0","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","426292","418995","NA","8910","NA","414709","427972","426470","8910","NA","428972","373302","393069","428974","405662","7225","7513","7729","8097","6056","2752","428975","374304","394071","428977","405665","428977","431082","NA","430980","431182","4681","426292","418998","NA","211978","NA","2752","Hommel2002EXP01","0","4001","2","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","z","0","NA","NA","1","0","NA","1","NA","66","0","0","0","0","0","66","66","0","0","66","66","66","66","66","0","0","0","0","0","0","66","66","66","66","66","66","66","66","66","66","0","66","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2000","4286","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","431943","418995","NA","8910","NA","414709","433537","432019","8910","NA","434537","434539","393069","428974","405662","7225","7513","7729","8097","6056","2752","436040","436042","394071","428977","405665","436043","438147","NA","438045","438247","4681","431943","418998","NA","211978","NA","2752","Hommel2002EXP01","0","6001","3","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","blue","red","legacy","0","uniform","0","0","z","0","NA","NA","1","0","NA","1","NA","67","0","0","0","0","0","67","67","0","0","67","67","67","67","67","0","0","0","0","0","0","67","67","67","67","67","67","67","67","67","67","0","67","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2000","4286","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","438959","418995","NA","8910","NA","414709","440574","439058","8910","NA","441574","434539","441576","428974","405662","7225","7513","7729","8097","6056","2752","442576","436042","442578","428977","405665","442579","444683","NA","444581","444783","4681","438959","418998","NA","211978","NA","2752","Hommel2002EXP01","0","8001","4","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","red","blue","legacy","0","uniform","0","0","z","0","NA","NA","1","0","NA","1","NA","68","0","0","0","0","0","68","68","0","0","68","68","68","68","68","0","0","0","0","0","0","68","68","68","68","68","68","68","68","68","68","0","68","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2000","4286","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","445514","418995","NA","8910","NA","414709","447141","445623","8910","NA","448141","434539","448143","428974","405662","7225","7513","7729","8097","6056","2752","449143","436042","449145","428977","405665","449146","451250","NA","451148","451350","4681","445514","418998","NA","211978","NA","2752","Hommel2002EXP01","0","10001","5","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","0","0","z","0","NA","NA","1","0","NA","1","NA","69","0","0","0","0","0","69","69","0","0","69","69","69","69","69","0","0","0","0","0","0","69","69","69","69","69","69","69","69","69","69","0","69","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2000","4286","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","452067","418995","NA","8910","NA","414709","453700","452181","8910","NA","454700","454703","448143","428974","405662","7225","7513","7729","8097","6056","2752","455703","455706","449145","428977","405665","455706","457810","NA","457708","457910","4681","452066","418998","NA","211978","NA","2752","Hommel2002EXP01","0","12001","6","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","0","0","z","0","NA","NA","1","0","NA","1","NA","70","0","0","0","0","0","70","70","0","0","70","70","70","70","70","0","0","0","0","0","0","70","70","70","70","70","70","70","70","70","70","0","70","0","NA","1","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","no","0","None","space","space","space","space","space","space","None","space","2000","4286","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","418998","NA","NA","211978","NA","NA","NA","NA","458639","418995","NA","8910","NA","414709","460286","458768","8910","NA","461287","461289","448143","428974","405662","7225","7513","7729","8097","6056","2752","462790","462793","449145","428977","405665","462793","464897","NA","464795","464997","4681","458638","418998","NA","211978","NA","2752","Hommel2002EXP01","0","14001","7","yes","1024"
